REG,CS1,CE,SEXE,BRUT_EQTP,P10_BRUT_EQTP,P20_BRUT_EQTP,P30_BRUT_EQTP,P40_BRUT_EQTP,P50_BRUT_EQTP,P60_BRUT_EQTP,P70_BRUT_EQTP,P80_BRUT_EQTP,P90_BRUT_EQTP
1,3,C,H,73621,31948,41378,49020,56037,64098,72186,81873,95253,120574
1,3,C,F,60058,32098,39717,45310,50585,55412,60927,67046,75221,90513
1,3,C,E,67726,32004,40506,47108,53117,59560,66209,74705,86247,109062
1,4,C,H,41558,22399,26573,30224,33595,37105,41165,46140,53266,64635
1,4,C,F,38733,22451,26788,30270,33372,36463,39757,43737,48981,56199
1,4,C,E,40093,22411,26682,30263,33471,36756,40410,44850,50707,59908
1,5,C,H,29740,19183,21277,22905,24696,26608,28766,31496,35472,43568
1,5,C,F,28397,18808,20453,22170,23751,25781,28044,30827,34338,41073
1,5,C,E,28863,18905,20728,22443,24080,26101,28292,31057,34715,41856
1,6N,C,H,24264,17027,18950,20595,22029,23231,24610,26606,29132,33269
1,6N,C,F,22038,10942,17501,19452,20991,22065,22787,23909,25512,29362
1,6N,C,E,23837,13826,18741,20393,21757,22889,24155,26066,28536,32632
1,6Q,C,H,29012,19247,21223,22826,24537,26412,28578,31019,34197,40567
1,6Q,C,F,25416,18490,19840,21097,22482,23877,25253,27306,29697,32692
1,6Q,C,E,28765,19178,21100,22692,24353,26200,28334,30722,33826,40093
1,T,C,H,36398,19516,21906,23911,26255,28937,32070,36705,44690,61495
1,T,C,F,34319,19286,21613,23713,26357,29295,32654,37331,43866,55020
1,T,C,E,35471,19399,21779,23831,26290,29095,32330,36994,44299,58018
1,3,N,H,60051,18533,22184,26758,32515,40878,49583,60826,74758,113622
1,3,N,F,52469,20364,25277,32948,39642,45568,51072,57344,71520,93087
1,3,N,E,56914,18576,23277,29328,36120,43531,50199,59470,73429,105026
1,4,N,H,34262,18260,19338,21508,24400,27468,30681,34584,42144,52374
1,4,N,F,31596,18255,18729,20060,22919,26159,29957,35463,41722,49829
1,4,N,E,32371,18255,18857,20278,23281,26766,30246,35174,41812,50440
1,5,N,H,24254,18280,19480,20333,21500,22352,23135,24480,26692,30193
1,5,N,F,23012,18254,18635,19305,20162,21214,22317,23537,25967,29598
1,5,N,E,23338,18255,18791,19587,20435,21583,22656,23795,26144,29822
1,6N,N,H,21877,17617,18255,18855,19977,20961,22244,23023,24018,27736
1,6N,N,F,21916,18254,19008,19934,20920,21821,22505,23050,23924,26001
1,6N,N,E,21903,18198,18637,19742,20530,21622,22446,23048,23968,26296
1,6Q,N,H,23905,18255,18729,19613,20763,21983,23264,25198,28028,31590
1,6Q,N,F,22556,18255,18905,19800,21149,22173,22917,23731,25111,27179
1,6Q,N,E,23630,18255,18760,19667,20848,22088,23138,24738,27077,31022
1,T,N,H,30438,18255,19071,20217,21647,22806,24243,26926,31193,45585
1,T,N,F,25843,18255,18767,19618,20630,21949,23043,24842,28171,36915
1,T,N,E,27524,18255,18850,19837,20982,22242,23418,25568,29250,39789
1,3,T,H,72020,28299,38588,46436,53493,61866,69823,80182,93948,120152
1,3,T,F,59228,30024,38388,43917,49510,54427,60014,66388,74959,90836
1,3,T,E,66490,29106,38508,45329,51583,57711,64890,73419,85191,108748
1,4,T,H,41216,22004,26099,29713,33121,36708,40813,45806,52788,64473
1,4,T,F,38018,21042,25499,29237,32400,35827,39132,43094,48435,55822
1,4,T,E,39512,21520,25775,29441,32707,36201,39841,44285,50158,59461
1,5,T,H,28976,19007,20835,22437,23888,25753,27893,30437,34349,42393
1,5,T,F,27350,18481,19832,21345,22810,24527,26805,29410,32876,39368
1,5,T,E,27890,18607,20094,21712,23127,24993,27179,29781,33361,40303
1,6N,T,H,23988,17148,18768,20326,21710,22904,24184,26134,28675,32844
1,6N,T,F,21976,14426,18577,19829,20939,21903,22633,23387,24562,27790
1,6N,T,E,23387,16516,18723,20094,21449,22536,23525,24997,27589,31537
1,6Q,T,H,28691,19072,20971,22552,24232,26101,28269,30701,33802,40109
1,6Q,T,F,24875,18385,19596,20914,22205,23342,24657,26324,28849,32146
1,6Q,T,E,28392,18970,20803,22391,24016,25811,27928,30312,33348,39553
1,T,T,H,35851,19192,21504,23377,25610,28245,31367,35868,43731,60485
1,T,T,F,32804,18783,20597,22553,24622,27449,30847,35253,41855,53185
1,T,T,E,34417,18950,21070,22971,25172,27874,31136,35581,42751,56318
2,3,C,H,75628,31991,41709,48985,55442,62733,70946,81230,96682,128246
2,3,C,F,60089,31995,39886,45261,50001,55133,60563,66215,74801,90144
2,3,C,E,68672,31991,40715,46974,52754,58708,65233,73446,85508,110137
2,4,C,H,41427,22797,26688,30124,33412,37069,41319,46124,53039,64286
2,4,C,F,38284,22987,26858,30110,32614,35685,39215,43145,48003,56149
2,4,C,E,39799,22890,26804,30110,32969,36272,40162,44472,50182,59516
2,5,C,H,29278,19709,21334,22603,23939,25475,27663,30820,35310,42813
2,5,C,F,28344,19201,20814,22252,23621,25465,27716,30603,34170,40480
2,5,C,E,28666,19359,20976,22374,23762,25470,27699,30683,34544,41288
2,6N,C,H,24141,16432,19037,20506,21881,23061,24450,26376,29082,33273
2,6N,C,F,21008,11037,18075,18880,20013,20966,21821,23053,24986,28527
2,6N,C,E,23451,13211,18744,20079,21313,22528,23808,25709,28255,32210
2,6Q,C,H,29293,19792,21798,23413,24976,26553,28462,30755,33958,41198
2,6Q,C,F,26392,19200,20697,22162,23467,24846,26492,28147,30630,34312
2,6Q,C,E,29020,19719,21657,23264,24802,26401,28230,30511,33630,40562
2,T,C,H,36485,19918,22098,23934,25969,28505,31669,36404,44471,60423
2,T,C,F,34150,19633,21688,23583,26012,28903,32326,36853,43429,55096
2,T,C,E,35443,19780,21924,23803,25987,28672,31966,36623,43962,57673
2,3,N,H,56004,18765,24366,30319,36080,43643,50328,60096,77355,104923
2,3,N,F,53805,22444,28451,34866,44191,49799,53966,59524,69394,90512
2,3,N,E,55117,20120,25958,31443,38648,46016,51795,60096,73141,100781
2,4,N,H,30332,18255,19471,20707,22668,24573,27967,32836,39349,49241
2,4,N,F,29713,18255,19534,20558,22167,24513,28577,33500,40243,49439
2,4,N,E,29881,18255,19532,20579,22275,24518,28287,33221,40030,49361
2,5,N,H,24616,18316,19355,20321,21181,22177,23071,24467,26477,32560
2,5,N,F,23487,18256,18874,19905,20708,21836,22831,24279,26340,30300
2,5,N,E,23765,18257,18976,20035,20853,21937,22907,24338,26364,30705
2,6N,N,H,21457,17740,18288,19039,19936,20935,21856,22722,23845,26969
2,6N,N,F,21225,18404,19248,19943,20510,20980,21298,21656,22453,24206
2,6N,N,E,21298,18255,18973,19663,20382,20971,21374,21967,22878,25033
2,6Q,N,H,24075,18252,18534,19425,20557,22086,23126,25089,28278,31984
2,6Q,N,F,22341,18071,18255,18431,19475,20388,21594,23253,25733,29750
2,6Q,N,E,23733,18251,18305,19295,20248,21805,22937,24765,28056,31550
2,T,N,H,29544,18255,19112,20266,21476,22651,24255,26969,32094,47200
2,T,N,F,25660,18257,19043,20077,20924,21906,23038,24929,28380,36949
2,T,N,E,26965,18255,19071,20110,21088,22119,23397,25521,29503,40253
2,3,T,H,73676,29953,39110,47153,53597,61018,69420,79574,94776,125331
2,3,T,F,59558,30756,38973,44569,49599,54615,60030,65848,74333,90346
2,3,T,E,67414,30319,39010,45801,51534,57716,64153,72543,84791,109477
2,4,T,H,40839,22165,25896,29506,32732,36445,40871,45670,52460,63730
2,4,T,F,37236,21367,25226,28817,31615,34707,38296,42398,47397,55498
2,4,T,E,38905,21673,25549,29137,32106,35452,39353,43711,49510,58843
2,5,T,H,28684,19410,20918,22218,23465,24922,26929,29942,34363,41958
2,5,T,F,27422,18822,20249,21644,22930,24488,26561,29267,32963,39175
2,5,T,E,27835,18978,20480,21872,23105,24648,26688,29467,33377,40068
2,6N,T,H,23847,16765,18905,20268,21613,22750,24038,25919,28552,32588
2,6N,T,F,21114,15061,18704,19490,20292,20971,21446,22189,23538,26745
2,6N,T,E,22948,16432,18800,19923,20966,21861,22991,24529,26995,31027
2,6Q,T,H,29064,19527,21589,23173,24757,26388,28256,30557,33762,40899
2,6Q,T,F,25995,18738,20263,21644,23035,24425,25965,27930,30222,33938
2,6Q,T,E,28759,19423,21414,23008,24553,26189,28041,30303,33405,40189
2,T,T,H,35931,19569,21746,23515,25486,27949,31104,35696,43646,59522
2,T,T,F,32661,19100,20871,22538,24502,27157,30529,34854,41381,52918
2,T,T,E,34383,19314,21285,23030,25072,27599,30833,35272,42500,56007
3,3,C,H,73808,32678,42959,50754,58475,65767,74206,83413,97146,121352
3,3,C,F,60264,32751,39901,44972,50089,54565,60190,67141,78138,92173
3,3,C,E,68831,32726,41307,48180,54546,60935,68347,77763,89417,110910
3,4,C,H,45948,24256,28838,32386,36549,41208,47031,53514,61212,72365
3,4,C,F,38463,22335,26640,29819,32584,35537,39068,43414,48832,58061
3,4,C,E,42655,23285,27794,31116,34517,38165,42797,48588,56014,66708
3,5,C,H,28209,18571,20307,21713,22966,24643,26853,29508,33904,42358
3,5,C,F,27948,18674,20270,21855,23225,24956,27330,30190,33947,40928
3,5,C,E,28056,18628,20286,21797,23110,24802,27119,29903,33927,41451
3,6N,C,H,23301,18150,18755,19975,21058,22255,23397,24684,26823,31361
3,6N,C,F,20686,10455,15625,18718,19660,20622,21684,22571,24509,28834
3,6N,C,E,22903,17526,18633,19707,20848,22007,23100,24406,26587,31024
3,6Q,C,H,30020,19683,21752,23338,24783,26459,28460,31278,35319,44449
3,6Q,C,F,27107,19430,20595,22198,23640,24876,26337,27846,29816,32956
3,6Q,C,E,29848,19669,21644,23286,24714,26340,28330,30973,34885,43934
3,T,C,H,37426,19377,21637,23502,25688,28514,32258,38452,48651,66902
3,T,C,F,34570,19186,21390,23381,26082,29108,32684,37630,44696,56631
3,T,C,E,36389,19299,21555,23464,25808,28719,32448,38038,46995,62966
3,3,N,H,55815,18533,23136,29441,37191,45925,53988,65742,79295,105722
3,3,N,F,48691,19969,26180,34689,40413,44819,49887,55200,66315,80077
3,3,N,E,53567,19017,23388,30255,38405,45543,51647,62789,75695,101456
3,4,N,H,33889,18338,18766,19838,22309,24653,30847,39326,48044,57468
3,4,N,F,33070,18404,19243,20478,24431,29192,33769,39222,46264,53502
3,4,N,E,33396,18376,18952,20263,22971,27905,32882,39326,46486,55909
3,5,N,H,23343,18255,18484,19121,20050,20708,21586,22740,24645,29524
3,5,N,F,22927,18255,18525,19345,20051,20783,21729,22667,24805,29986
3,5,N,E,23049,18255,18510,19276,20050,20775,21696,22680,24790,29911
3,6N,N,H,21114,18256,18547,19111,19658,20133,20863,22010,23293,25267
3,6N,N,F,20873,18255,18745,19241,19767,20081,20638,21667,22607,24358
3,6N,N,E,20980,18256,18684,19171,19739,20094,20702,21767,22918,24705
3,6Q,N,H,23039,18252,18364,18968,19928,20780,22088,23515,25550,30847
3,6Q,N,F,22246,18254,18396,19102,20004,20439,21656,22242,24597,28872
3,6Q,N,E,22901,18252,18379,19037,19955,20775,22005,23209,25545,29647
3,T,N,H,30027,18255,18546,19461,20346,21568,23136,25740,33366,53667
3,T,N,F,25631,18255,18674,19498,20162,21130,22163,24028,28657,41125
3,T,N,E,27593,18255,18624,19495,20236,21317,22547,24707,30255,45944
3,3,T,H,71967,29409,40435,48718,56461,64124,72763,81780,95659,119496
3,3,T,F,59303,31486,38866,44208,49429,53759,59336,66586,76661,91799
3,3,T,E,67376,30043,39855,46783,53103,59667,67178,76524,88206,110368
3,4,T,H,45420,23312,28310,31795,36082,40695,46402,52964,60614,72076
3,4,T,F,38024,21379,26148,29315,32183,35207,38722,43120,48680,57605
3,4,T,E,42093,22428,27082,30650,34137,37703,42367,48047,55381,66181
3,5,T,H,27728,18470,19963,21352,22556,24068,26184,28883,33069,41505
3,5,T,F,27153,18480,19787,21134,22450,24000,26229,29092,32991,39797
3,5,T,E,27383,18476,19861,21219,22493,24030,26217,28986,33036,40524
3,6N,T,H,23071,18244,18742,19774,20843,22024,23109,24391,26477,30834
3,6N,T,F,20770,13064,18348,19034,19739,20262,21124,22137,23399,26599
3,6N,T,E,22552,17739,18642,19518,20460,21522,22648,23897,25792,30279
3,6Q,T,H,29670,19312,21395,23071,24503,26162,28188,30883,34895,43964
3,6Q,T,F,26371,18877,20086,21411,22749,24305,25777,27299,29336,32369
3,6Q,T,E,29453,19277,21278,22961,24410,26024,27970,30549,34493,43305
3,T,T,H,36880,19004,21195,23102,25148,27929,31605,37630,47799,66242
3,T,T,F,33252,18746,20467,22273,24437,27557,31125,35995,43120,54809
3,T,T,E,35492,18891,20900,22783,24899,27791,31433,36933,45824,61655
4,3,C,H,67893,30421,39134,45636,51662,57998,65229,74611,88584,112973
4,3,C,F,56332,30000,37195,42688,47330,52068,57292,63340,71303,85625
4,3,C,E,63496,30248,38342,44321,49818,55428,61755,69652,81138,102731
4,4,C,H,39122,22347,25997,29282,32260,35185,38805,43306,49535,59759
4,4,C,F,35965,20851,25235,28518,31228,33733,36532,40164,45252,52675
4,4,C,E,37620,21713,25661,28933,31715,34472,37636,41746,47326,56262
4,5,C,H,27138,18693,20306,21648,22897,24162,25843,28393,32320,39753
4,5,C,F,26732,18518,20171,21642,23083,24563,26448,28846,32163,37999
4,5,C,E,26905,18578,20228,21643,22993,24385,26180,28691,32216,38670
4,6N,C,H,24330,18255,19709,20941,22238,23341,24625,26381,28688,32454
4,6N,C,F,21347,10953,18330,19343,20145,21156,22460,23344,24933,29062
4,6N,C,E,23957,18185,19466,20672,21988,23048,24282,26018,28346,31975
4,6Q,C,H,28797,20199,22027,23474,24927,26529,28410,30664,33654,39091
4,6Q,C,F,25917,18518,20201,21412,22749,24008,25704,27793,30340,33759
4,6Q,C,E,28655,20094,21912,23369,24817,26404,28274,30519,33473,38897
4,T,C,H,33373,19611,21615,23284,25021,27202,29999,33722,39917,52994
4,T,C,F,31910,18899,20958,22916,24907,27453,30459,34330,40062,50512
4,T,C,E,32832,19323,21389,23159,24981,27294,30176,33951,39971,51929
4,3,N,H,58334,19978,26070,33394,40180,46469,53564,62379,75690,106434
4,3,N,F,52590,22737,32145,36566,41081,46813,51803,57985,67980,88613
4,3,N,E,55966,21087,28491,35454,40874,46706,52981,60021,72155,99095
4,4,N,H,33649,18255,19252,21909,24821,29260,32751,36638,42899,56605
4,4,N,F,31351,18256,19456,22134,24546,28616,32512,35748,40313,49036
4,4,N,E,32233,18255,19406,22078,24672,28786,32638,36014,41300,51531
4,5,N,H,22869,18252,18304,18973,19747,20482,21622,23033,25112,29411
4,5,N,F,22618,18255,18593,19108,19880,20615,21822,23096,25099,29024
4,5,N,E,22687,18254,18491,19081,19835,20572,21763,23077,25102,29124
4,6N,N,H,20362,18253,18255,18499,18948,19541,20126,20813,22328,24135
4,6N,N,F,20632,18255,18669,19192,19604,19944,20292,20884,22243,24229
4,6N,N,E,20486,18254,18315,18790,19297,19793,20224,20847,22295,24170
4,6Q,N,H,24166,18254,18261,18790,20174,21475,22579,24623,27426,34077
4,6Q,N,F,22048,18254,18255,18362,18964,19986,21202,22149,25045,29884
4,6Q,N,E,23789,18254,18256,18670,19979,21194,22267,24229,27050,33503
4,T,N,H,27820,18254,18339,19085,20080,21256,22879,25321,30927,45060
4,T,N,F,25186,18255,18623,19323,20086,21087,22475,24465,28278,37120
4,T,N,E,26278,18255,18507,19247,20083,21151,22626,24789,29140,39771
4,3,T,H,67000,29031,38052,44532,50753,57031,64159,73680,87616,112717
4,3,T,F,55938,29211,36515,42007,46773,51568,56744,62914,70944,85779
4,3,T,E,62758,29103,37386,43408,49074,54636,60951,68716,80334,102412
4,4,T,H,38748,21725,25471,28820,31863,34829,38464,42929,49316,59563
4,4,T,F,35436,20081,24293,27831,30740,33271,36095,39695,44839,52287
4,4,T,E,37130,20870,24931,28322,31293,34045,37183,41283,46930,55873
4,5,T,H,26644,18385,19896,21220,22439,23741,25301,27709,31522,38919
4,5,T,F,25891,18329,19536,20826,22189,23644,25363,27694,30913,36782
4,5,T,E,26193,18348,19682,20992,22296,23687,25332,27702,31150,37633
4,6N,T,H,23818,18255,19139,20341,21595,22786,24040,25676,28040,31762
4,6N,T,F,21013,15441,18512,19239,19801,20253,21098,22461,23710,26865
4,6N,T,E,23286,18251,18979,19997,20965,22301,23457,24993,27352,31074
4,6Q,T,H,28536,19854,21700,23196,24679,26258,28132,30424,33452,38919
4,6Q,T,F,25144,18255,19301,20571,21812,23204,24840,27046,29638,33479
4,6Q,T,E,28342,19668,21532,23042,24518,26104,27949,30242,33228,38682
4,T,T,H,32888,19111,21094,22832,24546,26679,29465,33202,39332,52444
4,T,T,F,30654,18512,20080,21813,23630,25908,28950,32764,38384,48749
4,T,T,E,32001,18793,20655,22436,24211,26401,29264,33017,38891,50824
11,3,C,H,83297,38202,45137,51078,57210,64056,72292,83369,100591,137342
11,3,C,F,68084,35717,41476,46235,50989,56264,62536,70779,83237,107885
11,3,C,E,77451,37057,43500,48942,54531,60797,68278,78309,93712,125822
11,4,C,H,43365,24975,29271,32625,35664,38711,42052,46133,51762,61832
11,4,C,F,39649,24027,28145,31114,33800,36537,39498,43147,48320,57359
11,4,C,E,41676,24530,28717,31874,34758,37671,40857,44790,50232,59847
11,5,C,H,29972,19487,21343,22900,24475,26326,28603,31511,35807,43638
11,5,C,F,29874,19648,21784,23472,25169,27061,29291,32166,36177,43067
11,5,C,E,29916,19572,21580,23216,24867,26754,29005,31892,36032,43298
11,6N,C,H,25412,18315,19817,21353,22706,23990,25571,27555,30354,34924
11,6N,C,F,23153,13315,19101,20208,21272,22381,23545,25091,27289,31066
11,6N,C,E,24899,18209,19625,20993,22363,23573,25076,26989,29680,34181
11,6Q,C,H,31444,20184,23030,25375,27638,29932,32336,35022,38407,43761
11,6Q,C,F,30138,20065,22243,23962,25641,27480,29837,32648,36560,42779
11,6Q,C,E,31340,20172,22942,25228,27447,29739,32153,34867,38289,43694
11,T,C,H,52687,21453,25106,29070,33494,38583,44806,53246,66080,91445
11,T,C,F,45895,21419,24829,28417,32496,37095,42329,48947,58470,76597
11,T,C,E,50014,21439,24990,28799,33082,37958,43735,51360,62828,85410
11,3,N,H,84094,21609,30596,39099,47015,55699,66431,80375,104008,158056
11,3,N,F,66546,27520,37136,43215,48835,54777,61543,70184,82363,106714
11,3,N,E,75701,23806,33782,41416,48079,55152,63588,74557,91690,131039
11,4,N,H,42644,20293,24017,27882,31867,36036,40751,46964,56011,69669
11,4,N,F,39522,21659,25952,29836,33040,36185,39453,43701,49773,60696
11,4,N,E,40604,21092,25228,29221,32693,36138,39792,44599,51673,63794
11,5,N,H,25722,18412,19463,20357,21322,22401,23681,25446,28411,35487
11,5,N,F,26542,18597,19807,20854,22066,23370,25018,27337,31170,39002
11,5,N,E,26282,18529,19687,20669,21808,23023,24548,26707,30303,38046
11,6N,N,H,22121,18442,19139,19734,20261,20920,22012,22902,24288,27155
11,6N,N,F,21499,18481,19151,19622,19997,20341,20862,21835,23047,25783
11,6N,N,E,21803,18456,19146,19668,20097,20551,21326,22434,23663,26523
11,6Q,N,H,27572,18463,19587,20939,22574,24201,26095,28720,32848,40397
11,6Q,N,F,28519,19012,20392,21807,22870,24338,26554,29652,34178,42859
11,6Q,N,E,27721,18510,19750,21079,22627,24222,26156,28856,33067,40788
11,T,N,H,44784,18674,20072,21518,23297,25891,30600,38935,52726,80178
11,T,N,F,36608,18963,20240,21748,23644,26516,31144,37824,47066,63424
11,T,N,E,40183,18843,20165,21648,23485,26241,30910,38233,49047,69703
11,3,T,H,83358,36878,44285,50390,56642,63603,71961,83201,100800,138710
11,3,T,F,67918,34997,41101,45978,50791,56118,62436,70717,83147,107761
11,3,T,E,77297,36031,42836,48389,54043,60378,67926,78019,93557,126199
11,4,T,H,43317,24530,28936,32368,35472,38582,41993,46167,51967,62331
11,4,T,F,39631,23625,27888,30960,33712,36493,39493,43209,48491,57806
11,4,T,E,41568,24078,28405,31648,34586,37540,40767,44776,50346,60227
11,5,T,H,29352,19217,20870,22395,23877,25622,27832,30693,34947,42822
11,5,T,F,29151,19249,21108,22753,24381,26213,28415,31267,35359,42391
11,5,T,E,29233,19234,21005,22599,24168,25974,28183,31038,35203,42554
11,6N,T,H,24750,18366,19540,20684,22083,23216,24657,26571,29282,33870
11,6N,T,F,22370,17606,19141,19814,20330,21087,22207,23410,25417,29186
11,6N,T,E,24017,18257,19362,20249,21305,22549,23809,25586,28169,32665
11,6Q,T,H,31171,19899,22641,24959,27208,29542,31986,34726,38166,43616
11,6Q,T,F,29910,19822,21901,23539,25238,27087,29432,32320,36302,42790
11,6Q,T,E,31063,19891,22549,24801,27003,29333,31785,34555,38042,43558
11,T,T,H,51932,20753,24178,27965,32384,37510,43765,52224,65140,90634
11,T,T,F,44286,20422,23481,26792,30778,35432,40727,47349,56815,74560
11,T,T,E,48759,20599,23870,27450,31693,36603,42395,49992,61391,83681
24,3,C,H,63725,35447,41591,46262,50750,55680,61313,68452,78776,97998
24,3,C,F,53201,32110,37292,41258,44866,48677,52873,58123,65234,77984
24,3,C,E,60303,34089,39891,44369,48613,53125,58317,64911,74162,91813
24,4,C,H,39632,25271,28892,31768,34397,37068,39894,43373,48062,55911
24,4,C,F,34770,23535,26296,28579,30612,32795,35229,38212,42096,48003
24,4,C,E,37586,24371,27573,30183,32647,35162,37953,41222,45657,52713
24,5,C,H,27814,20075,21604,22857,24083,25446,27101,29225,32419,38012
24,5,C,F,26673,19973,21440,22622,23819,25087,26526,28327,30905,35312
24,5,C,E,27017,20011,21492,22691,23895,25187,26678,28586,31333,36078
24,6N,C,H,25266,18590,20711,22178,23260,24400,25778,27382,29590,33306
24,6N,C,F,24563,18462,20155,21428,22460,23445,24626,26110,28222,31716
24,6N,C,E,25022,18548,20485,21932,22955,24040,25356,26980,29149,32822
24,6Q,C,H,30011,21932,23941,25541,27073,28652,30355,32362,35045,39557
24,6Q,C,F,28453,20816,22560,23845,25013,26254,27955,30096,33073,38319
24,6Q,C,E,29803,21738,23696,25253,26757,28344,30081,32115,34855,39436
24,T,C,H,36544,21647,23988,26090,28321,30840,33897,38069,44537,56975
24,T,C,F,31869,20502,22417,24056,25768,27800,30347,33730,38810,47914
24,T,C,E,34750,21100,23274,25203,27261,29632,32514,36394,42285,53420
24,3,N,H,55239,19672,24945,31279,37983,44028,50714,59990,73216,100394
24,3,N,F,49755,24785,32431,37438,41305,45195,49355,54337,61795,77442
24,3,N,E,52669,21582,28295,34754,40084,44701,49868,56498,66897,89215
24,4,N,H,37394,20328,23008,25489,28415,31904,35557,40653,47422,58453
24,4,N,F,34025,21329,24252,27160,29835,32267,34930,38101,42019,47817
24,4,N,E,34843,21058,23895,26695,29557,32176,35050,38585,42983,50234
24,5,N,H,23732,18692,19638,20313,21050,21878,22763,23968,25733,29887
24,5,N,F,24268,19049,19959,20697,21546,22438,23548,25032,27333,31714
24,5,N,E,24181,18985,19907,20619,21456,22338,23401,24832,27099,31467
24,6N,N,H,22396,13247,18450,19299,20396,21904,22782,23976,25760,30048
24,6N,N,F,21673,17135,18820,19446,19976,20460,21232,22447,23860,27327
24,6N,N,E,21946,16607,18635,19415,20079,20727,22009,22995,24678,28474
24,6Q,N,H,26528,19319,20936,22443,23594,24813,26189,27786,29955,34850
24,6Q,N,F,26414,19334,20668,21944,22993,24210,25585,27308,30280,35938
24,6Q,N,E,26494,19323,20827,22284,23426,24651,26033,27656,30036,35198
24,T,N,H,32069,18625,20093,21465,22848,24415,26589,30148,37289,52861
24,T,N,F,27676,19030,20071,21019,22176,23489,25374,28376,33206,41592
24,T,N,E,29021,18913,20079,21133,22353,23773,25734,28887,34204,44231
24,3,T,H,63014,33640,40426,45323,49928,54964,60719,67931,78501,98135
24,3,T,F,52707,31176,36621,40721,44380,48208,52354,57617,64842,77895
24,3,T,E,59508,32577,38854,43527,47778,52310,57604,64222,73605,91623
24,4,T,H,39536,24911,28607,31537,34212,36905,39771,43295,48049,56004
24,4,T,F,34650,23123,26014,28423,30500,32719,35185,38198,42075,47981
24,4,T,E,37322,23935,27210,29876,32367,34901,37702,40985,45419,52498
24,5,T,H,27249,19692,21106,22356,23528,24848,26446,28570,31672,37201
24,5,T,F,26042,19599,20862,22026,23111,24365,25777,27574,30133,34592
24,5,T,E,26368,19619,20922,22113,23218,24487,25943,27817,30532,35284
24,6N,T,H,24975,18379,20341,21911,22984,24114,25462,27095,29320,33118
24,6N,T,F,23814,18191,19533,20497,21668,22671,23773,25274,27397,31078
24,6N,T,E,24519,18321,19933,21256,22450,23515,24803,26431,28646,32396
24,6Q,T,H,29859,21747,23768,25367,26898,28469,30186,32195,34899,39445
24,6Q,T,F,28228,20561,22332,23589,24799,26040,27674,29865,32852,38139
24,6Q,T,E,29627,21530,23496,25067,26553,28142,29894,31922,34673,39280
24,T,T,H,36236,21215,23584,25690,27908,30439,33508,37689,44196,56776
24,T,T,F,30980,19952,21700,23234,24920,26891,29425,32780,37787,46743
24,T,T,E,34009,20485,22627,24510,26524,28892,31761,35605,41414,52414
