titre,nationalité,sortie,entrées (millions)
MONDE DE NEMO (LE),ETATS UNIS,26/11/03,"7,94"
TAXI 3,FRANCE,29/01/03,"6,11"
MATRIX RELOADED,ETATS UNIS,16/05/03,"5,64"
RETOUR DU ROI (LE),NOUVELLE ZELANDE,17/12/03,"5,15"
CHOUCHOU,FRANCE,19/03/03,"3,82"
PIRATES DES CARAIBES : LA MALEDICTION DU BLACK PEARL,ETATS UNIS,13/08/03,"3,77"
ARRETE MOI SI TU PEUX,ETATS UNIS,12/02/03,"3,60"
MATRIX REVOLUTIONS,ETATS UNIS,05/11/03,"3,48"
LIVRE DE LA JUNGLE 2 (LE),ETATS UNIS,05/02/03,"3,31"
TERMINATOR 3 : LE SOULEVEMENT DES MACHINES,ETATS UNIS,06/08/03,"3,19"
TAIS-TOI,FRANCE / ITALIE,22/10/03,"3,03"
X MEN II,ETATS UNIS,30/04/03,"2,78"
BRUCE TOUT PUISSANT,ETATS UNIS,03/09/03,"2,67"
SEIGNEUR DES ANNEAUX (LE) - LES DEUX TOURS,NOUVELLE ZELANDE,18/12/02,"2,57"
8 MILE,ETATS UNIS,26/02/03,"2,24"
GANGS OF NEW YORK,ETATS UNIS,08/01/03,"2,15"
BEUZE (LA),FRANCE,05/02/03,"1,96"
AMERICAN PIE:THE WEDDING,ETATS UNIS,15/10/03,"1,91"
BAD BOYS II,ETATS UNIS,15/10/03,"1,88"
FAST & FURIOUS 2,ETATS UNIS,18/06/03,"1,79"
HULK,ETATS UNIS,02/07/03,"1,67"
7 ANS DE MARIAGE...,FRANCE,25/06/03,"1,63"
HARRY POTTER ET LA CHAMBRE DES SECRETS,ETATS UNIS,04/12/02,"1,59"
CHARLIE'S ANGELS : LES ANGES SE DECHAINENT,ETATS UNIS,16/07/03,"1,56"
KILL BILL VOL. 1,ETATS UNIS,26/11/03,"1,55"
DIX-HUIT ANS APRES,FRANCE,05/02/03,"1,54"
COEUR DES HOMMES (LE),FRANCE,02/04/03,"1,53"
DAREDEVIL,ETATS UNIS,19/03/03,"1,33"
GOOD BYE LENIN,ALLEMAGNE,10/09/03,"1,30"
SINBAD: LA LEGENDE DES SEPT MERS,ETATS UNIS,09/07/03,"1,25"
FANFAN LA TULIPE,FRANCE,14/05/03,"1,25"
"LARA CROFT TOMB RAIDER, LE BERCEAU DE LA VIE",ETATS UNIS,20/08/03,"1,22"
INVASIONS BARBARES (LES),CANADA / FRANCE,24/09/03,"1,19"
INTOLERABLE CRUAUTE,ETATS UNIS,19/11/03,"1,19"
MYSTIC RIVER,ETATS UNIS,15/10/03,"1,15"
PERE ET FILS,FRANCE / CANADA,20/08/03,"1,15"
SENTIMENTS (LES),FRANCE,05/11/03,"1,14"
CHICAGO,ETATS UNIS,26/02/03,"1,13"
RIRE ET CHATIMENT,FRANCE,22/01/03,"1,13"
COUT DE LA VIE (LE),FRANCE,30/07/03,"1,10"
MAUVAIS ESPRIT,FRANCE / ESPAGNE,05/11/03,"1,09"
JEUX D'ENFANTS,FRANCE / BELGIQUE,17/09/03,"1,07"
MYSTERE DE LA CHAMBRE JAUNE (LE),FRANCE / BELGIQUE,11/06/03,"1,06"
"MOI CESAR, 10 ANS1/2, 1M39",FRANCE,09/04/03,"1,06"
FLEUR DU MAL (LA),FRANCE,19/02/03,"1,04"
EFFROYABLES JARDINS,FRANCE,26/03/03,"1,02"
LIGUE DES GENTLEMEN EXTRAORDINAIRES (LA),ETATS UNIS,01/10/03,"1,02"
CHORISTES (LES),FRANCE / SUISSE,17/03/04,"8,43"
SHREK 2,ETATS UNIS,23/06/04,"7,14"
HARRY POTTER ET LE PRISONNIER D'AZKABAN,GRANDE BRETAGNE,02/06/04,"7,08"
SPIDER-MAN 2,ETATS UNIS,14/07/04,"5,23"
INDESTRUCTIBLES (LES),ETATS UNIS,24/11/04,"4,92"
UN LONG DIMANCHE DE FIANCAILLES,FRANCE,27/10/04,"4,33"
PODIUM,FRANCE / BELGIQUE,11/02/04,"3,54"
FRERE DES OURS,ETATS UNIS,28/01/04,"3,53"
DEUX FRERES,FRANCE / GRANDE BRETAGNE,07/04/04,"3,31"
GANG DE REQUINS,ETATS UNIS,13/10/04,"2,97"
11 COMMANDEMENTS (LES),FRANCE,04/02/04,"2,96"
TROIE,GRANDE BRETAGNE,13/05/04,"2,73"
JOUR D'APRES (LE),ETATS UNIS,26/05/04,"2,68"
ENQUETE CORSE (L'),FRANCE,06/10/04,"2,54"
VILLAGE (LE),ETATS UNIS,18/08/04,"2,36"
FAHRENHEIT 9/11,ETATS UNIS,07/07/04,"2,33"
RETOUR DU ROI (LE),NOUVELLE ZELANDE,17/12/03,"2,22"
DERNIER SAMOURAI (LE),ETATS UNIS,14/01/04,"2,20"
OCEAN'S TWELVE,ETATS UNIS,15/12/04,"2,11"
"I, ROBOT",ETATS UNIS,28/07/04,"2,09"
RIVIERES POURPRES 2 (LES),FRANCE / ITALIE / GRANDE BRETAGNE,18/02/04,"2,08"
MARIAGES !,FRANCE,21/04/04,"1,96"
DOUBLE ZERO,FRANCE / GRANDE BRETAGNE,16/06/04,"1,80"
36 QUAI DES ORFEVRES,FRANCE,24/11/04,"1,68"
DALTON (LES),FRANCE / ALLEMAGNE / ESPAGNE,08/12/04,"1,68"
RRRRRRR !!!,FRANCE,28/01/04,"1,67"
ROI ARTHUR (LE),ETATS UNIS,04/08/04,"1,60"
COMME UNE IMAGE,FRANCE / ITALIE,22/09/04,"1,59"
PASSION DU CHRIST (LA),ETATS UNIS,31/03/04,"1,54"
BRIDGET JONES : L'AGE DE RAISON,ETATS UNIS,08/12/04,"1,53"
GOTHIKA,ETATS UNIS,07/01/04,"1,52"
VAN HELSING,ETATS UNIS,05/05/04,"1,52"
STARSKY ET HUTCH,ETATS UNIS,21/04/04,"1,51"
KILL BILL VOLUME 2,ETATS UNIS,17/05/04,"1,47"
MALABAR PRINCESS,FRANCE,03/03/04,"1,46"
COLLATERAL,ETATS UNIS,29/09/04,"1,45"
PETER PAN,ETATS UNIS,04/02/04,"1,42"
POLE EXPRESS (LE),ETATS UNIS,01/12/04,"1,37"
SCOOBY-DOO 2 - LES MONSTRES SE DECHAINENT,ETATS UNIS,07/04/04,"1,37"
LOST IN TRANSLATION,ETATS UNIS,07/01/04,"1,34"
MONDE DE NEMO (LE),ETATS UNIS,26/11/03,"1,29"
LADYKILLERS,ETATS UNIS,09/06/04,"1,25"
"GARFIELD, LE FILM",ETATS UNIS,11/08/04,"1,22"
ARSENE LUPIN,FRANCE / GRANDE BRETAGNE / ESPAGNE / ITALIE,13/10/04,"1,18"
VIPERE AU POING,FRANCE / GRANDE BRETAGNE,06/10/04,"1,17"
BIG FISH,ETATS UNIS,03/03/04,"1,14"
TERMINAL (LE),ETATS UNIS,15/09/04,"1,14"
MORT DANS LA PEAU (LA),ETATS UNIS,08/09/04,"1,14"
MANOIR HANTE ET LES 999 FANTOMES (LE),ETATS UNIS,18/02/04,"1,08"
MAUVAISE EDUCATION (LA),ESPAGNE,12/05/04,"1,07"
DERNIER TRAPPEUR (LE),FRANCE / CANADA / ALLEMAGNE / ITALIE,15/12/04,"1,04"
STAR WARS : EPISODE III - LA REVANCHE DES SITHS,ETATS UNIS,18/05/05,"7,20"
HARRY POTTER ET LA COUPE DE FEU,GRANDE BRETAGNE,30/11/05,"7,04"
BRICE DE NICE,FRANCE,06/04/05,"4,43"
CHARLIE ET LA CHOCOLATERIE,GRANDE BRETAGNE,13/07/05,"4,24"
GUERRE DES MONDES (LA),ETATS UNIS,06/07/05,"3,89"
MADAGASCAR,ETATS UNIS,22/06/05,"3,18"
MILLION DOLLAR BABY,ETATS UNIS,23/03/05,"3,15"
MR & MRS SMITH,ETATS UNIS,27/07/05,"2,96"
"MONDE DE NARNIA (LE) - CHAPITRE 1 - LE LION, LA SORCIERE BLANCHE ET L'ARMOIRE MAGIQUE",ETATS UNIS,21/12/05,"2,87"
POUPEES RUSSES (LES),FRANCE / GRANDE BRETAGNE,15/06/05,"2,84"
KING KONG,ETATS UNIS,14/12/05,"2,77"
IZNOGOUD,FRANCE,09/02/05,"2,54"
PALAIS ROYAL!,FRANCE / GRANDE BRETAGNE,23/11/05,"2,38"
WALLACE ET GROMIT LE MYSTERE DU LAPIN-GAROU,GRANDE BRETAGNE,12/10/05,"2,23"
4 FANTASTIQUES (LES),ETATS UNIS,20/07/05,"2,22"
LEGENDE DE ZORRO (LA),ETATS UNIS,26/10/05,"2,15"
HITCH EXPERT EN SEDUCTION,ETATS UNIS,16/03/05,"2,06"
CHICKEN LITTLE,ETATS UNIS,07/12/05,"2,03"
MARCHE DE L'EMPEREUR (LA),FRANCE,26/01/05,"1,86"
JOYEUX NOEL,FRANCE / ALLEMAGNE / GRANDE BRETAGNE / BELGIQUE / ROUMANIE,09/11/05,"1,86"
ESPACE DETENTE,FRANCE,02/02/05,"1,77"
AVIATOR,ETATS UNIS,26/01/05,"1,68"
"MON BEAU PERE, MES PARENTS ET MOI",ETATS UNIS,16/02/05,"1,66"
RAY,ETATS UNIS,23/02/05,"1,59"
THE ISLAND,ETATS UNIS,17/08/05,"1,55"
BATMAN BEGINS,ETATS UNIS,15/06/05,"1,49"
FRERES GRIMM (LES),GRANDE BRETAGNE,05/10/05,"1,49"
OLIVER TWIST,FRANCE / REPUBLIQUE TCHEQUE / GRANDE BRETAGNE,19/10/05,"1,45"
MATCH POINT,GRANDE BRETAGNE,26/10/05,"1,45"
TOUT POUR PLAIRE,FRANCE / BELGIQUE,16/03/05,"1,44"
KIRIKOU ET LES BETES SAUVAGES,FRANCE,07/12/05,"1,37"
NOCES FUNEBRES DE TIM BURTON (LES),GRANDE BRETAGNE,19/10/05,"1,36"
CHATEAU AMBULANT (LE),ETATS UNIS,12/01/05,"1,31"
COCCINELLE REVIENT (LA),ETATS UNIS,03/08/05,"1,31"
KINGDOM OF HEAVEN,GRANDE BRETAGNE,04/05/05,"1,28"
CHEVALIERS DU CIEL (LES),FRANCE,09/11/05,"1,28"
MON PETIT DOIGT M'A DIT,FRANCE,13/04/05,"1,26"
ALEXANDRE,GRANDE BRETAGNE / FRANCE / PAYS BAS,05/01/05,"1,25"
SIN CITY,ETATS UNIS,01/06/05,"1,23"
TRANSPORTEUR 2 (LE),FRANCE,03/08/05,"1,23"
CONSTANTINE,ETATS UNIS,16/02/05,"1,22"
BOUDU,FRANCE,09/03/05,"1,20"
DERNIER TRAPPEUR (LE),FRANCE / CANADA / ALLEMAGNE / ITALIE,15/12/04,"1,19"
VAILLANT PIGEON DE COMBAT,GRANDE BRETAGNE,30/03/05,"1,16"
ROBOTS,ETATS UNIS,06/04/05,"1,10"
DE BATTRE MON CŒUR S'EST ARRETE,FRANCE,16/03/05,"1,01"
BRONZÉS 3 (LES) - AMIS POUR LA VIE,FRANCE,01/02/06,"10,23"
AGE DE GLACE 2 (L'),ETATS UNIS,05/04/06,"6,62"
"PIRATES DES CARAIBES, LE SECRET DU COFFRE MAUDIT",ETATS UNIS,02/08/06,"6,51"
CAMPING,FRANCE,26/04/06,"5,47"
DA VINCI CODE,ETATS UNIS,17/05/06,"4,16"
ARTHUR ET LES MINIMOYS (EX : ARTHUR),FRANCE,13/12/06,"4,12"
JE VOUS TROUVE TRES BEAU (EX: LA FILLE DE L'EST),FRANCE,11/01/06,"3,51"
PRETE-MOI TA MAIN (EX : RENT A WIFE),FRANCE,01/11/06,"3,45"
DOUBLURE (LA),FRANCE / ITALIE,29/03/06,"3,08"
INDIGÈNES,FRANCE / BELGIQUE,27/09/06,"3,02"
CASINO ROYALE,GRANDE BRETAGNE,22/11/06,"2,84"
X-MEN L'AFFRONTEMENT FINAL,ETATS UNIS,24/05/06,"2,81"
NE LE DIS À PERSONNE,FRANCE,01/11/06,"2,73"
"OSS 117 - LE CAIRE, NID D'ESPIONS",FRANCE,19/04/06,"2,30"
VOLVER,ESPAGNE,19/05/06,"2,30"
"MONDE DE NARNIA (LE) - CHAPITRE 1 - LE LION, LA SORCIERE BLANCHE ET L'ARMOIRE MAGIQUE",ETATS UNIS,21/12/05,"2,26"
DIABLE S'HABILLE EN PRADA (LE),ETATS UNIS,27/09/06,"2,16"
CARS QUATRE ROUES,ETATS UNIS,14/06/06,"2,02"
FAUTEUILS D'ORCHESTRE,FRANCE,15/02/06,"1,93"
MISSION : IMPOSSIBLE 3,ETATS UNIS,03/05/06,"1,91"
BAMBI 2,ETATS UNIS,01/02/06,"1,85"
AZUR ET ASMAR,FRANCE / BELGIQUE / ESPAGNE / ITALIE,25/10/06,"1,61"
ERAGON,ETATS UNIS,20/12/06,"1,58"
MIAMI VICE - DEUX FLICS A MIAMI,ETATS UNIS,16/08/06,"1,57"
REBELLES DE LA FORET (LES),ETATS UNIS,18/10/06,"1,57"
NOS VOISINS LES HOMMES,ETATS UNIS,05/07/06,"1,51"
INFILTRES (LES),ETATS UNIS,29/11/06,"1,48"
NOS JOURS HEUREUX (EX:CES JOURS HEUREUX),FRANCE,28/06/06,"1,47"
SUPERMAN RETURNS,ETATS UNIS,12/07/06,"1,46"
ASTÉRIX ET LES VIKINGS,FRANCE,12/04/06,"1,37"
SECRET DE BROKEBACK MOUNTAIN (LE),ETATS UNIS,18/01/06,"1,32"
LORD OF WAR,ETATS UNIS,04/01/06,"1,31"
GARFIELD 2,ETATS UNIS,19/07/06,"1,27"
JEAN-PHILIPPE,FRANCE,05/04/06,"1,22"
MARIE ANTOINETTE,ETATS UNIS,24/05/06,"1,22"
HORS DE PRIX,FRANCE,13/12/06,"1,21"
INSIDE MAN,ETATS UNIS,12/04/06,"1,18"
MAISON DU BONHEUR (LA),FRANCE,07/06/06,"1,14"
HAPPY FEET,ETATS UNIS,06/12/06,"1,10"
IVRESSE DU POUVOIR (EX:LA COMÉDIE DU POUVOIR),FRANCE / ALLEMAGNE,22/02/06,"1,08"
SOURIS CITY,ETATS UNIS,29/11/06,"1,04"
MUNICH,ETATS UNIS,25/01/06,"1,04"
COMME T'Y ES BELLE !,FRANCE / GRANDE BRETAGNE / LUXEMBOURG / BELGIQUE,10/05/06,"1,04"
RATATOUILLE,ETATS UNIS,01/08/07,"7,67"
SPIDER-MAN 3,ETATS UNIS,01/05/07,"6,32"
HARRY POTTER ET L'ORDRE DU PHENIX,GRANDE BRETAGNE,11/07/07,"6,21"
"PIRATES DES CARAIBES, JUSQU'AU BOUT DU MONDE",ETATS UNIS,23/05/07,"5,64"
SHREK LE TROISIEME,ETATS UNIS,13/06/07,"5,55"
MOME (LA),France / REPUBLIQUE TCHEQUE / GRANDE BRETAGNE,14/02/07,"5,22"
TAXI 4,France,14/02/07,"4,55"
SIMPSON LE FILM (LES),ETATS UNIS,25/07/07,"3,55"
"ENSEMBLE, C'EST TOUT",France,21/03/07,"2,31"
A LA CROISEE DES MONDES : LA BOUSSOLE D'OR,GRANDE BRETAGNE,05/12/07,"2,29"
NUIT AU MUSEE (LA),ETATS UNIS,07/02/07,"2,27"
DIE HARD 4 RETOUR EN ENFER,ETATS UNIS,04/07/07,"2,27"
ARTHUR ET LES MINIMOYS (EX : ARTHUR),FRANCE,13/12/06,"2,25"
IL ETAIT UNE FOIS,ETATS UNIS,28/11/07,"2,19"
TRANSFORMERS,ETATS UNIS,25/07/07,"1,98"
JE SUIS UNE LEGENDE,ETATS UNIS,19/12/07,"1,88"
CŒUR DES HOMMES N°2 (LE),France,24/10/07,"1,81"
4 FANTASTIQUES ET LE SURFER D'ARGENT (LES),ETATS UNIS,08/08/07,"1,66"
UN SECRET,France / Allemagne,03/10/07,"1,65"
300,ETATS UNIS,21/03/07,"1,65"
OCEAN'S 13,ETATS UNIS,20/06/07,"1,64"
VENGEANCE DANS LA PEAU (LA),GRANDE BRETAGNE,12/09/07,"1,54"
VIE DES AUTRES (LA),ALLEMAGNE,31/01/07,"1,54"
ROIS DE LA GLISSE (LES),ETATS UNIS,24/10/07,"1,51"
RENARD ET L'ENFANT (LE),France,12/12/07,"1,49"
UN JOUR SUR TERRE,GRANDE BRETAGNE,10/10/07,"1,40"
DIALOGUE AVEC MON JARDINIER,FRANCE,06/06/07,"1,36"
PRIX À PAYER (LE),France,04/04/07,"1,34"
BLOOD DIAMOND,ETATS UNIS,31/01/07,"1,31"
PERSÉPOLIS,FRANCE,27/06/07,"1,24"
99 FRANCS,France,26/09/07,"1,23"
MOLIÈRE,France,31/01/07,"1,22"
ERAGON,ETATS UNIS,20/12/06,"1,21"
AMERICAN GANGSTER,ETATS UNIS,14/11/07,"1,17"
ROCKY BALBOA,ETATS UNIS,24/01/07,"1,15"
ZODIAC,ETATS UNIS,17/05/07,"1,13"
FAILLE (LA),ETATS UNIS,09/05/07,"1,12"
GHOST RIDER,ETATS UNIS,21/02/07,"1,07"
VACANCES DE MR BEAN (LES),GRANDE BRETAGNE,18/04/07,"1,06"
SECRET DE TARABITHIA (LE),ETATS UNIS,28/03/07,"1,05"
BIENVENUE CHEZ LES CH'TIS,France,27/02/08,"20,44"
ASTÉRIX AUX JEUX OLYMPIQUES,France / Allemagne / Espagne / Italie,30/01/08,"6,81"
MADAGASCAR 2 : LA GRANDE EVASION,ETATS UNIS,03/12/08,"4,35"
INDIANA JONES ET LE ROYAUME DU CRANE DE CRISTAL,ETATS UNIS,21/05/08,"4,21"
QUANTUM OF SOLACE,GRANDE BRETAGNE,31/10/08,"3,70"
KUNG FU PANDA,ETATS UNIS,09/07/08,"3,27"
WALL-E,ETATS UNIS,30/07/08,"3,17"
HANCOCK,ETATS UNIS,09/07/08,"3,07"
MONDE DE NARNIA (LE ) - CHAPITRE 2 - LE PRINCE CASPIAN,ETATS UNIS,25/06/08,"3,05"
THE DARK KNIGHT LE CHEVALIER NOIR,ETATS UNIS,13/08/08,"3,00"
DISCO,France,02/04/08,"2,35"
MESRINE : L'INSTINCT DE MORT,France / Canada / Italie,22/10/08,"2,26"
ENFIN VEUVE,France,16/01/08,"2,25"
IRON MAN,ETATS UNIS,30/04/08,"2,04"
SEX AND THE CITY LE FILM,ETATS UNIS,28/05/08,"1,99"
BENJAMIN GATES ET LE LIVRE DES SECRETS,ETATS UNIS,13/02/08,"1,95"
HIGH SCHOOL MUSICAL 3 : NOS ANNEES LYCEE,ETATS UNIS,22/10/08,"1,88"
VICKY CRISTINA BARCELONA,ESPAGNE,08/10/08,"1,88"
PARIS,France,20/02/08,"1,75"
HORTON,ETATS UNIS,02/04/08,"1,68"
ENTRE LES MURS,France,24/09/08,"1,58"
MAMMA MIA ! LE FILM,GRANDE BRETAGNE,10/09/08,"1,57"
MOMIE : LA TOMBE DE L'EMPEREUR DRAGON (LA ),ETATS UNIS,06/08/08,"1,56"
MESRINE : L'ENNEMI PUBLIC N°1,France,19/11/08,"1,50"
INTO THE WILD,ETATS UNIS,09/01/08,"1,42"
ECHANGE (L'),ETATS UNIS,12/11/08,"1,37"
TRANSPORTEUR 3 (LE),FRANCE,26/11/08,"1,35"
FAUBOURG 36,France / Allemagne / REPUBLIQUE TCHEQUE,24/09/08,"1,32"
PHENOMENES,ETATS UNIS,11/06/08,"1,30"
CHIMPANZES DE L'ESPACE (LES),ETATS UNIS,22/10/08,"1,25"
VOYAGE AU CENTRE DE LA TERRE 3D,ETATS UNIS,16/07/08,"1,21"
PREMIER JOUR DU RESTE DE TA VIE (LE),France,23/07/08,"1,20"
CRIME EST NOTRE AFFAIRE (LE),FRANCE,15/10/08,"1,18"
JUMPER,ETATS UNIS,20/02/08,"1,15"
LARGO WINCH,FRANCE,17/12/08,"1,12"
CASH,France,23/04/08,"1,11"
