,APP_Libelle_etablissement,SIRET,Adresse_2_UA,Code_postal,Libelle_commune,Numero_inspection,Date_inspection,APP_Libelle_activite_etablissement,Synthese_eval_sanit,Agrement,geores,filtre,ods_type_activite,lat,lon
23094,FEDERATION DES SOCIETES JUIVES DE FRANCE,77568034100044,11 rue Pasteur,77350,Boissise-la-Bertrand,21-009241-1,2021-02-04T01:00:00+01:00,Restauration collective,Satisfaisant,,"48.525711,2.586624",Restauration collective,Autres,48.525711,2.586624
23177,JCMA,84484609700013,D 306,77240,Vert-Saint-Denis,21-016723-1,2021-02-25T01:00:00+01:00,Boucherie-Charcuterie,Satisfaisant,,"48.564945,2.630029",Boucherie-Charcuterie,Autres,48.564945,2.630029
23263,JCMA,84484609700013,D 306,77240,Vert-Saint-Denis,21-016723-2,2021-02-25T01:00:00+01:00,Restaurant,Satisfaisant,,"48.564945,2.630029",Restaurant,Autres,48.564945,2.630029
23306,O'SQUARE,84138270800011,46 RUE JEAN JAURES,77440,Lizy-sur-Ourcq,20-080157-1,2020-12-29T01:00:00+01:00,Restaurant,Satisfaisant,,"49.024602,3.022396",Restaurant,Autres,49.024602,3.022396
23370,LE PLEIN FRAIS DE PONTAULT COMBAULT,87913926900010,44 RUE RAOUL DAUTRY,77340,Pontault-Combault,21-016854-1,2021-02-26T01:00:00+01:00,Boucherie-Charcuterie,Satisfaisant,,"48.776945,2.601557",Boucherie-Charcuterie,Autres,48.776945,2.601557
23382,NEWREST FRANCE CDG,41257562300134,12 RUE ANTOINE DE SAINT EXUPERY,77290,Compans,21-039519-1,2021-05-06T02:00:00+02:00,Restauration collective,Très satisfaisant,77123001,"48.996516,2.651116",Restauration collective,Autres,48.996516,2.651116
23431,SARL KB VIANDES,49425500300019,4 RUE CONGE,77450,Trilbardou,21-016163-1,2021-02-25T01:00:00+01:00,Chaîne d'abattage de volaille/lagomorphe/petit gibier,Très satisfaisant,77474002,"48.954691,2.806033",,Abattoirs,48.954691,2.806033
23508,KING FOOD,82807080500019,8 RUE DE L EGLISE,77430,Champagne-sur-Seine,21-083523-1,2021-10-14T02:00:00+02:00,Restaurant,Satisfaisant,,"48.405257,2.798536",Restaurant,Autres,48.405257,2.798536
23732,EL BARAKA,83389778800018,272 AVENUE JEAN JAURES,77190,Dammarie-les-Lys,21-018378-1,2021-03-03T01:00:00+01:00,Restaurant,Satisfaisant,,"48.527625,2.649632",Restaurant,Autres,48.527625,2.649632
24220,PICARD SURGELES,78493968810915,1 RTE MILITAIRE,77300,Fontainebleau,21-080052-1,2021-10-04T02:00:00+02:00,Transport de denrées alimentaires,Satisfaisant,,"48.398563,2.723255",,Transport et entreposage de denrées alimentaires,48.398563,2.723255
24244,BENZIANE,83792234300012,2 RUE DU PRESIDENT DESPATYS,77000,Melun,21-039340-1,2021-05-20T02:00:00+02:00,Restaurant,Satisfaisant,,"48.54193,2.65594",Restaurant,Autres,48.54193,2.65594
24575,CHICKEN TIME S,79171814100017,527 AV JEAN JAURES,77190,Dammarie-les-Lys,21-019270-1,2021-03-03T01:00:00+01:00,Restaurant,Satisfaisant,,"48.526418,2.646678",Restaurant,Autres,48.526418,2.646678
24639,BOUCHERIE ESRA,82106699000010,1 SQUARE ALEXANDRE RIBOT,77000,Melun,21-019439-1,2021-03-11T01:00:00+01:00,Boucherie-Charcuterie,Satisfaisant,,"48.549686,2.645583",Boucherie-Charcuterie,Autres,48.549686,2.645583
24731,KORIAN LA FERME DU MARAIS,34117411800933,565 AVENUE DE MARCHE MARAIS,77350,Le Mée-sur-Seine,21-026351-1,2021-03-31T02:00:00+02:00,Restauration collective,Satisfaisant,,"48.546868,2.638338",Restauration collective,Autres,48.546868,2.638338
24781,LES POMMES D'ABIT,83182758900019,1019 FORTAIL,77320,Beton-Bazoches,21-081247-1,2021-10-07T02:00:00+02:00,Fromagerie|Alimentation générale|Glacier|Boucherie-Charcuterie,Satisfaisant,,"48.699635,3.267739",Fromagerie|Alimentation générale|Glacier|Boucherie-Charcuterie,Autres,48.699635,3.267739
24800,EARL DE LA NOZAIE,44836029700015,6 ROUTE DE MONTEREAU,77140,Nonville,21-056673-1,2021-07-13T02:00:00+02:00,Chaîne d'abattage de volaille/lagomorphe/petit gibier,A améliorer,,"48.289399,2.793392",,Abattoirs,48.289399,2.793392
24838,CHAMPIN,49250316400013,DOMAINE DE LA CHARLOTTERIE,77390,Ozouer-le-Voulgis,21-031437-1,2021-04-22T02:00:00+02:00,Producteur fermier,Satisfaisant,,"48.659727,2.774214",Producteur fermier,Autres,48.659727,2.774214
24941,SOCIETE D'EXPLOITATION DES ETABLISSEMENTS CUSAC,38822096400018,23 AVENUE CHARLES MONIER,77240,Cesson,20-096494-1,2021-06-15T02:00:00+02:00,Traiteur|Boucherie-Charcuterie,Satisfaisant,,"48.562769,2.6062",Traiteur|Boucherie-Charcuterie,Autres,48.562769,2.6062
25244,L'ABATTOIR DE SENART,81138589700012,11 RUE ALFRED DE MUSSET,77176,Savigny-le-Temple,21-021189-1,2021-03-12T01:00:00+01:00,Chaîne d'abattage de volaille/lagomorphe/petit gibier,Satisfaisant,77445007,"48.604099,2.577113",,Abattoirs,48.604099,2.577113
25286,BOUGAINVILLE,19771436300011,RD 319,77170,Brie-Comte-Robert,21-082066-1,2021-10-11T02:00:00+02:00,Libre service|Boucherie-Charcuterie,Très satisfaisant,,"48.684893,2.629961",Libre service|Boucherie-Charcuterie,Autres,48.684893,2.629961
25418,ECOLE MATERNELLE PUBLIQUE CLOS ST JEAN,21770431100026,"1, rue du Clos Saint-Jean",77140,Saint-Pierre-lès-Nemours,21-042397-1,2021-06-01T02:00:00+02:00,Restauration collective,Satisfaisant,77431001,"48.270106,2.677524",Restauration collective,Autres,48.270106,2.677524
26252,GROUPEMENT D'INTERET ECONOMIQUE DES VIGNES,50409220600011,31 RUE GRANDE,77820,Les Écrennes,21-053581-1,2021-07-06T02:00:00+02:00,Chaîne d'abattage de volaille/lagomorphe/petit gibier,Très satisfaisant,77165001,"48.504356,2.858924",,Abattoirs,48.504356,2.858924
26455,CENTRE D ACTIVITE LES ORMES,78497191300339,12  R  DU PERRE,77950,Rubelles,21-051062-1,2021-06-28T02:00:00+02:00,Restauration collective,Très satisfaisant,,"48.551632,2.671852",Restauration collective,Autres,48.551632,2.671852
26501,CARREFOUR,45132133501039,RTE RN 7,77190,Villiers-en-Bière,21-076279-1,2021-09-23T02:00:00+02:00,Rayon pain/viennoiserie/pâtisserie,Satisfaisant,,"48.493979,2.599372",Rayon pain/viennoiserie/pâtisserie,Autres,48.493979,2.599372
26793,CARREFOUR,45132133501039,RTE RN 7,77190,Villiers-en-Bière,21-076284-1,2021-09-23T02:00:00+02:00,Rayon traiteur,Satisfaisant,,"48.493979,2.599372",Rayon traiteur,Autres,48.493979,2.599372
26906,DOMITYS LES NOTES FLORALES,75015761200185,3 AV DE LA REPUBLIQUE,77380,Combs-la-Ville,21-009925-1,2021-02-08T01:00:00+01:00,Restauration collective,Satisfaisant,,"48.665923,2.556256",Restauration collective,Autres,48.665923,2.556256
27225,EHPAD LES PATIOS,26770931900011,"6, boulevard VOLTAIRE",77370,Nangis,21-020808-1,2021-03-11T01:00:00+01:00,Restauration collective,Satisfaisant,,"48.557406,3.016671",Restauration collective,Autres,48.557406,3.016671
27270,MELGA BAZAR SHOP,84279239200016,ALL JEAN LOUIS BARRAULT,77100,Meaux,20-080136-1,2020-12-29T01:00:00+01:00,Libre service|Alimentation générale,Satisfaisant,,"48.951211,2.912681",Libre service|Alimentation générale,Autres,48.951211,2.912681
27599,AFRICANTI,81819294000018,ALLEE JEAN LOUIS BARRAULT,77100,Meaux,20-080155-1,2020-12-29T01:00:00+01:00,Libre service|Alimentation générale,Satisfaisant,,"48.951211,2.912681",Libre service|Alimentation générale,Autres,48.951211,2.912681
27929,ABATTOIR DE MONTEREAU,82478468000012,"1, RUE DES SECHERONS",77130,Montereau-Fault-Yonne,21-022639-1,2021-02-26T01:00:00+01:00,Chaîne d'abattage de volaille/lagomorphe/petit gibier,Satisfaisant,77305001,"48.393232,2.974885",,Abattoirs,48.393232,2.974885
28267,CHARDON FRANCK,50258985600017,56 RUE GRANDE,77760,Guercheville,20-095362-1,2021-03-04T01:00:00+01:00,Découpe de viandes de volailles/lagomorphe,Satisfaisant,77220001,"48.260421,2.558646",,Viandes et produits carnés,48.260421,2.558646
28404,EARL DELPECH,80475002400015,16 RUE DE MAROLLES,77520,Montigny-Lencoup,21-029478-1,2021-04-15T02:00:00+02:00,Producteur fermier,Très satisfaisant,,"48.440304,3.046352",Producteur fermier,Autres,48.440304,3.046352
28507,VIVRE MIEUX,79453430500014,22 RUE DE LA MARE BLANCHE,77186,Noisiel,21-026746-1,2021-03-31T02:00:00+02:00,Alimentation générale,A corriger de manière urgente,,"48.850087,2.625711",Alimentation générale,Autres,48.850087,2.625711
28629,RESTAURANT UNIVERSITAIRE L'ARLEQUIN,18940004700412,AVENUE PIERRE POINT,77127,Lieusaint,21-043891-1,2021-06-04T02:00:00+02:00,Restauration collective,Satisfaisant,,"48.628385,2.5607",Restauration collective,Autres,48.628385,2.5607
28815,CHICKEN FOOD,83917650000016,3 RUE DU SOUVENIR,77140,Nemours,21-033237-1,2021-04-28T02:00:00+02:00,Restaurant,Satisfaisant,,"48.267526,2.69875",Restaurant,Autres,48.267526,2.69875
28910,DOMALAIT PRODUCTION,39162525800028,RUE DU MANGANESE,77176,Savigny-le-Temple,21-016404-1,2021-03-01T01:00:00+01:00,Découpe de fromages,Très satisfaisant,77445002,"48.579188,2.593196",,Lait et produits laitiers,48.579188,2.593196
28925,INTERMARCHE,81465754000013,BOULEVARD GEORGES BIDAULT,77183,Croissy-Beaubourg,21-033169-1,2021-04-28T02:00:00+02:00,Rayon fromagerie|Rayon boucherie-charcuterie,Satisfaisant,,"48.828757,2.643558",Rayon fromagerie|Rayon boucherie-charcuterie,Autres,48.828757,2.643558
29597,CUISINE CENTRALE DE CHELLES,66202519614740,Rue de la Haute Borne,77500,Chelles,20-047508-1,2020-12-04T01:00:00+01:00,Restauration collective,Satisfaisant,77108004,"48.885676,2.614646",Restauration collective,Autres,48.885676,2.614646
29631,SOCIETE FROMAGERE DE MEAUX,41991262100010,RUE JEHAN DE BRIE,77100,Meaux,21-016408-1,2021-02-24T01:00:00+01:00,Caves d'affinage,Très satisfaisant,77284011,"48.966775,2.902735",,Lait et produits laitiers,48.966775,2.902735
29828,SOCIETE FROMAGERE DE MEAUX,41991262100010,RUE JEHAN DE BRIE,77100,Meaux,21-014877-1,2021-02-24T01:00:00+01:00,Transformation de lait ou produits laitiers,Très satisfaisant,77284011,"48.966775,2.902735",,Lait et produits laitiers,48.966775,2.902735
29898,BOUCHERIE MONDIALE,81148943400019,"30, rue du Général Leclerc",77370,Nangis,21-083180-1,2021-10-12T02:00:00+02:00,Boucherie-Charcuterie,Satisfaisant,,"48.556325,3.011853",Boucherie-Charcuterie,Autres,48.556325,3.011853
29913,LESAFFRE FRERES,45750860400024,SUCRERIE DE NANGIS,77370,Nangis,20-035585-2,2020-12-16T01:00:00+01:00,Producteur fermier,Très satisfaisant,,"48.564174,3.009924",Producteur fermier,Autres,48.564174,3.009924
29952,MAISON DE RETRAITE LA GARENNE,77567665300022,46 ROUTE D'EGREVILLE,77460,Souppes-sur-Loing,21-070330-1,2021-09-06T02:00:00+02:00,Restauration collective,Satisfaisant,,"48.179659,2.742364",Restauration collective,Autres,48.179659,2.742364
30051,CHAMPIN,49250316400013,DOMAINE DE LA CHARLOTTERIE,77390,Ozouer-le-Voulgis,21-031437-2,2021-04-22T02:00:00+02:00,Producteur fermier,Satisfaisant,,"48.659727,2.774214",Producteur fermier,Autres,48.659727,2.774214
30073,EARL DELPECH,80475002400015,16 RUE DE MAROLLES,77520,Montigny-Lencoup,21-029478-2,2021-04-15T02:00:00+02:00,Producteur fermier,Satisfaisant,,"48.440304,3.046352",Producteur fermier,Autres,48.440304,3.046352
30128,LESAFFRE FRERES,45750860400024,SUCRERIE DE NANGIS,77370,Nangis,20-035585-1,2020-12-16T01:00:00+01:00,Transformation de lait ou produits laitiers,Très satisfaisant,77327001,"48.564174,3.009924",,Lait et produits laitiers,48.564174,3.009924
31017,A TEX (SAS),68202067200031,29 ALLEE DU CLOS DES CHARMES,77400,Collégien,21-049706-1,2021-06-23T02:00:00+02:00,Entreposage de distribution de denrées alimentaires,Très satisfaisant,77121001,,,Transport et entreposage de denrées alimentaires,,
31468,SINGLY,39525422000076,4 BOULEVARD DE STRASBOURG,77600,Bussy-Saint-Georges,21-036765-1,2021-05-11T02:00:00+02:00,Transformation de produits de la pêche,Très satisfaisant,77058001,"48.830347,2.735229",,Produits de la mer et d'eau douce,48.830347,2.735229
31503,SINGLY,39525422000076,4 BOULEVARD DE STRASBOURG,77600,Bussy-Saint-Georges,21-036768-1,2021-05-11T02:00:00+02:00,Transformation de produits carnés,Très satisfaisant,77058001,"48.830347,2.735229",,Viandes et produits carnés,48.830347,2.735229
31520,ASSOCIATION SOCIALE LA FORESTIERE,40072278100012,169 RUE NEUVE,77630,Arbonne-la-Forêt,21-008313-1,2021-02-01T01:00:00+01:00,Restauration collective,Satisfaisant,,"48.414249,2.566405",Restauration collective,Autres,48.414249,2.566405
31529,LA BARAKA,50916547800017,"32, rue des Chesnois",77130,Montereau-Fault-Yonne,21-033414-1,2021-04-27T02:00:00+02:00,Boucherie-Charcuterie,Satisfaisant,,"48.396318,2.95667",Boucherie-Charcuterie,Autres,48.396318,2.95667
31560,COMMUNE OZOIR LA FERRIERE,21770350300193,Place des Sports / Allée André Boyer,77330,Ozoir-la-Ferrière,21-030382-1,2021-03-29T02:00:00+02:00,Restauration collective,Très satisfaisant,,"48.765264,2.673404",Restauration collective,Autres,48.765264,2.673404
31867,QUADRATURE RESTAURATION,80053265700023,8 RUE DES ACACIAS,77230,Villeneuve-sous-Dammartin,21-025377-1,2021-03-25T01:00:00+01:00,Restauration collective,Satisfaisant,77511004,"49.032342,2.639002",Restauration collective,Autres,49.032342,2.639002
32012,CREMERIE DU FAUBOURG,34412654500013,14 BIS AVENUE DE SENS,77250,Moret-Loing-et-Orvanne,21-030826-1,2021-04-20T02:00:00+02:00,Entreposage de distribution de denrées alimentaires,Satisfaisant,77166001,"48.370389,2.827707",,Transport et entreposage de denrées alimentaires,48.370389,2.827707
32053,LYCEE POLYVALENT DE LA MARE CARREE,19772296000014,Rue de la Mare Carrée,77550,Moissy-Cramayel,21-026295-1,2021-03-29T02:00:00+02:00,Restauration collective,Satisfaisant,,"48.628439,2.579352",Restauration collective,Autres,48.628439,2.579352
32635,MAIRIE COMMUNE LOGNES,21770258800013,1 Bis rue Mithridate,77185,Lognes,21-039827-1,2021-05-25T02:00:00+02:00,Restauration collective,Satisfaisant,77258001,"48.841762,2.629903",Restauration collective,Autres,48.841762,2.629903
32736,PIRES VIEIRA RAMIRO,44977386000027,RUE DE LA NOUE,77320,Choisy-en-Brie,21-022992-1,2021-03-16T01:00:00+01:00,Découpe de viandes de volailles/lagomorphe,Très satisfaisant,77116001,"48.759195,3.213694",,Viandes et produits carnés,48.759195,3.213694
32759,EHPAD LES JARDINS DE CHAGOT,26770012800015,"36, rue de l'Hotel de Ville",77890,Beaumont-du-Gâtinais,21-036034-1,2021-05-06T02:00:00+02:00,Restauration collective,Satisfaisant,,"48.137003,2.476757",Restauration collective,Autres,48.137003,2.476757
33171,MAIRIE COMMUNE DE BUSSY ST GEORGES,21770058200018,1 RUE JEAN DE BRUNHOFF,77600,Bussy-Saint-Georges,21-056306-1,2021-07-09T02:00:00+02:00,Restauration collective,Satisfaisant,,"48.840166,2.709322",Restauration collective,Autres,48.840166,2.709322
33214,URBANIA,39966006700014,CHEMIN DES MANIQUETS,77163,Mortcerf,21-007110-1,2021-01-28T01:00:00+01:00,Restauration collective,Satisfaisant,,"48.788041,2.909053",Restauration collective,Autres,48.788041,2.909053
33750,HAMDOUCHY HAMID,50439354700022,RUE MOLIERE,77100,Meaux,19-121255-1,2020-12-31T01:00:00+01:00,Restaurant,Satisfaisant,,"48.956965,2.923793",Restaurant,Autres,48.956965,2.923793
33905,ACTIV INTERNATIONAL,40449486600035,16 RUE HENRI BECQUEREL,77290,Mitry-Mory,21-039527-1,2021-07-07T02:00:00+02:00,Transformation de produits de la pêche,Très satisfaisant,77294008,"48.979313,2.643425",,Produits de la mer et d'eau douce,48.979313,2.643425
34040,EARL VECTEN PASCAL,41868709100011,11 RUE DU CHARDONNERET,77165,Le Plessis-l'Évêque,21-064483-1,2021-08-12T02:00:00+02:00,Centre d'emballage des oeufs,Très satisfaisant,77366001,"48.999448,2.794514",,Œufs et ovoproduits,48.999448,2.794514
34102,AMINECOV MEAUX,49009556900011,12 RUE DU VIDE ARPENT,77100,Meaux,20-090597-1,2020-12-16T01:00:00+01:00,Chaîne d'abattage d'animaux boucherie/Gibier ongulé élevage,A améliorer,77284015,"48.9661,2.903601",,Abattoirs,48.9661,2.903601
34123,O'DELICES,52897788700033,108 AVENUE DU MARECHAL LECLERC,77460,Souppes-sur-Loing,21-056821-1,2021-07-15T02:00:00+02:00,Restaurant,Satisfaisant,,"48.186171,2.732013",Restaurant,Autres,48.186171,2.732013
34201,BOROWIEC,32462337000016,D21 entre Crécy-la-Chapelle et La Haute-Maison,77580,Sancy,20-096737-1,2021-08-11T02:00:00+02:00,Transformation de lait ou produits laitiers,Satisfaisant,77443001,"48.873692,2.971996",,Lait et produits laitiers,48.873692,2.971996
34244,LA TULIPE DE NEMOURS,53208579200010,85 RUE DES GUICHETTES,77140,Nemours,20-094851-1,2021-02-08T01:00:00+01:00,Restauration collective,A corriger de manière urgente,,"48.273484,2.705845",Restauration collective,Autres,48.273484,2.705845
34254,AMINECOV MEAUX,49009556900011,12 RUE DU VIDE ARPENT,77100,Meaux,20-090597-2,2020-12-16T01:00:00+01:00,Chaîne d'abattage d'animaux boucherie/Gibier ongulé élevage,A améliorer,77284015,"48.9661,2.903601",,Abattoirs,48.9661,2.903601
34787,BELLA PIZZA,87791605600014,22 RUE MONTGAUDIER,77890,Beaumont-du-Gâtinais,21-032928-1,2021-04-27T02:00:00+02:00,Restaurant,Satisfaisant,,"48.137334,2.475932",Restaurant,Autres,48.137334,2.475932
34842,STE MAXIMO,40320696400302,13 RUE DES CHAMPARTS,77820,Le Châtelet-en-Brie,21-053273-1,2021-07-05T02:00:00+02:00,Entreposage de distribution de denrées alimentaires,Satisfaisant,,"48.498034,2.794278",,Transport et entreposage de denrées alimentaires,48.498034,2.794278
34847,CHEZ GENNARO,89157859300016,76 rue de Coulommes,77860,Quincy-Voisins,21-053577-1,2021-07-05T02:00:00+02:00,Traiteur,Satisfaisant,,"48.897834,2.884082",Traiteur,Autres,48.897834,2.884082
